Petition_ID,Petition_Name,Country,Genre,Year,Total_Signatures,Successful,Signatures,Signatures_Per_Capita,Population,Population_Density,GDP_Per_Capita,Unemployment,Tertiary_Enrollment,Life_Expectancy,Media_Literacy_Index,Governance,Social_Capital,Personal_Freedom,Education
eci_table_01,Ban Conversion Practices,Italy,Human Rights,2024,1128063,True,60701,0.0010066935560533,60297396.0,206,33189.56579886136,9.89,61.9,82.9,47,62.33,60.97,78.44,80.0
eci_table_01,Ban Conversion Practices,Latvia,Human Rights,2024,1128063,True,1103,0.0005766448886939,1912789.0,30,17836.364886560932,6.52,88.1,74.7,55,68.82,55.06,81.39,81.36
eci_table_01,Ban Conversion Practices,Lithuania,Human Rights,2024,1128063,True,1973,0.000707969301475,2786844.0,43,19455.45412660343,6.35,72.4,75.7,54,72.57,47.26,79.62,81.8
eci_table_01,Ban Conversion Practices,Luxembourg,Human Rights,2024,1128063,True,2091,0.0032398663148418,645397.0,242,110172.37314087298,5.36,19.2,82.1,53,86.31,66.6,89.2,78.79
eci_table_01,Ban Conversion Practices,Malta,Human Rights,2024,1128063,True,861,0.001712911292681,502653.0,1380,29416.230606402427,3.47,54.3,82.3,45,70.26,68.19,81.05,78.33
eci_table_01,Ban Conversion Practices,Netherlands,Human Rights,2024,1128063,True,38112,0.0021988305443132,17332850.0,508,52447.83143920359,3.2,85.0,81.8,64,87.34,74.03,90.08,86.43
eci_table_01,Ban Conversion Practices,Poland,Human Rights,2024,1128063,True,9039,0.0002380508807882,37970874.0,124,15595.227033436207,3.47,67.8,77.6,53,58.03,63.27,67.09,78.63
eci_table_01,Ban Conversion Practices,Portugal,Human Rights,2024,1128063,True,9025,0.0008788230140036,10269417.0,111,23145.04081731222,6.33,63.9,81.3,60,73.19,62.92,85.78,77.64
eci_table_01,Ban Conversion Practices,Romania,Human Rights,2024,1128063,True,9932,0.0005131081250867,19356544.0,84,12919.529644186485,3.98,49.4,75.4,32,57.11,49.96,73.56,70.47
eci_table_01,Ban Conversion Practices,Slovakia,Human Rights,2024,1128063,True,2671,0.0004897257517455,5454073.0,114,19329.0968008679,5.56,46.6,77.2,48,61.93,61.15,78.6,72.75
eci_table_01,Ban Conversion Practices,Slovenia,Human Rights,2024,1128063,True,6400,0.0030652133723764,2087946.0,103,25739.247814359183,4.2,78.6,81.0,55,63.66,62.69,75.8,81.8
eci_table_01,Ban Conversion Practices,Spain,Human Rights,2024,1128063,True,162018,0.0034415692100953,47076781.0,94,29613.67113798626,13.96,88.9,83.3,58,72.48,69.27,83.65,80.98
eci_table_01,Ban Conversion Practices,Sweden,Human Rights,2024,1128063,True,17668,0.0017177658582465,10285453.0,25,51610.06605523354,6.48,67.0,82.5,71,86.41,78.29,91.9,85.92
eci_table_02,Defence of Agriculture,Austria,Agriculture,2024,4432,False,109,1.227883038395452e-05,8877067.0,109,50277.27508736838,4.67,85.1,81.6,59,81.19,67.94,85.99,81.93
eci_table_02,Defence of Agriculture,Belgium,Agriculture,2024,4432,False,160,1.3932360999664316e-05,11484055.0,383,46116.699233676605,5.59,79.7,81.6,61,80.31,64.55,87.7,84.79
eci_table_02,Defence of Agriculture,Bulgaria,Agriculture,2024,4432,False,47,6.737616153993808e-06,6975761.0,64,12328.404026456756,4.34,71.0,74.9,31,53.12,54.62,68.31,72.79
eci_table_02,Defence of Agriculture,Croatia,Agriculture,2024,4432,False,76,1.8684695759065764e-05,4067500.0,73,14853.239837492318,6.93,67.9,78.1,45,56.15,52.19,75.16,73.54
eci_table_02,Defence of Agriculture,Cyprus,Agriculture,2024,4432,False,27,2.2526750516238032e-05,1198575.0,131,20494.87761299877,7.27,75.9,80.8,39,65.69,56.86,78.31,79.14
eci_table_02,Defence of Agriculture,Czech Republic,Agriculture,2024,4432,False,39,3.655207466295473e-06,10669709.0,139,23101.777704996453,1.93,64.1,79.0,58,68.72,61.62,82.53,80.66
eci_table_02,Defence of Agriculture,Denmark,Agriculture,2024,4432,False,29,4.9840570327364895e-06,5818553.0,137,59822.092960913134,4.91,80.6,81.0,73,89.45,82.56,94.09,87.48
eci_table_02,Defence of Agriculture,Estonia,Agriculture,2024,4432,False,18,1.3515299318828914e-05,1331824.0,31,23566.890205462583,5.11,69.6,78.2,71,79.03,61.94,87.2,82.19
eci_table_02,Defence of Agriculture,Finland,Agriculture,2024,4432,False,102,1.847720981089119e-05,5520314.0,18,48685.853986747854,6.59,88.2,81.7,74,90.41,77.27,91.96,88.38
eci_table_02,Defence of Agriculture,France,Agriculture,2024,4432,False,361,5.383247961631668e-06,67059887.0,119,40493.9285720389,8.43,65.6,82.5,57,77.24,60.6,79.06,81.27
eci_table_02,Defence of Agriculture,Germany,Agriculture,2024,4432,False,302,3.632741873637624e-06,83132799.0,240,46258.8782897109,3.04,70.2,80.9,61,84.39,65.96,87.7,83.45
eci_table_02,Defence of Agriculture,Greece,Agriculture,2024,4432,False,120,1.1197871807136812e-05,10716322.0,81,19582.53601086268,17.24,136.6,81.3,38,60.81,52.31,73.3,79.34
eci_table_02,Defence of Agriculture,Hungary,Agriculture,2024,4432,False,73,7.471891613763798e-06,9769949.0,107,16475.741838979917,3.4,48.5,75.8,41,45.75,59.51,60.36,77.34
eci_table_02,Defence of Agriculture,Republic of Ireland,Agriculture,2024,4432,False,50,9.985881960084832e-06,5007069.0,72,77629.9889911643,4.93,77.8,82.3,70,81.72,67.73,88.59,85.0
eci_table_02,Defence of Agriculture,Italy,Agriculture,2024,4432,False,483,8.010296166023488e-06,60297396.0,206,33189.56579886136,9.89,61.9,82.9,47,62.33,60.97,78.44,80.0
eci_table_02,Defence of Agriculture,Latvia,Agriculture,2024,4432,False,11,5.750764982441869e-06,1912789.0,30,17836.364886560932,6.52,88.1,74.7,55,68.82,55.06,81.39,81.36
eci_table_02,Defence of Agriculture,Lithuania,Agriculture,2024,4432,False,25,8.970721001964946e-06,2786844.0,43,19455.45412660343,6.35,72.4,75.7,54,72.57,47.26,79.62,81.8
eci_table_02,Defence of Agriculture,Luxembourg,Agriculture,2024,4432,False,10,1.5494339143194035e-05,645397.0,242,110172.37314087298,5.36,19.2,82.1,53,86.31,66.6,89.2,78.79
eci_table_02,Defence of Agriculture,Malta,Agriculture,2024,4432,False,9,1.790499609074252e-05,502653.0,1380,29416.230606402427,3.47,54.3,82.3,45,70.26,68.19,81.05,78.33
eci_table_02,Defence of Agriculture,Netherlands,Agriculture,2024,4432,False,67,3.8654924031535495e-06,17332850.0,508,52447.83143920359,3.2,85.0,81.8,64,87.34,74.03,90.08,86.43
eci_table_02,Defence of Agriculture,Poland,Agriculture,2024,4432,False,215,5.662234690726371e-06,37970874.0,124,15595.227033436207,3.47,67.8,77.6,53,58.03,63.27,67.09,78.63
eci_table_02,Defence of Agriculture,Portugal,Agriculture,2024,4432,False,136,1.3243205529583616e-05,10269417.0,111,23145.04081731222,6.33,63.9,81.3,60,73.19,62.92,85.78,77.64
eci_table_02,Defence of Agriculture,Romania,Agriculture,2024,4432,False,160,8.265938382388922e-06,19356544.0,84,12919.529644186485,3.98,49.4,75.4,32,57.11,49.96,73.56,70.47
eci_table_02,Defence of Agriculture,Slovakia,Agriculture,2024,4432,False,50,9.167460721556164e-06,5454073.0,114,19329.0968008679,5.56,46.6,77.2,48,61.93,61.15,78.6,72.75
eci_table_02,Defence of Agriculture,Slovenia,Agriculture,2024,4432,False,33,1.580500645131627e-05,2087946.0,103,25739.247814359183,4.2,78.6,81.0,55,63.66,62.69,75.8,81.8
eci_table_02,Defence of Agriculture,Spain,Agriculture,2024,4432,False,1629,3.460304560755758e-05,47076781.0,94,29613.67113798626,13.96,88.9,83.3,58,72.48,69.27,83.65,80.98
eci_table_02,Defence of Agriculture,Sweden,Agriculture,2024,4432,False,91,8.847446971951552e-06,10285453.0,25,51610.06605523354,6.48,67.0,82.5,71,86.41,78.29,91.9,85.92
eci_table_03,My Voice My Choice,Austria,Health,2024,1124513,True,25373,0.0028582638837805,8877067.0,109,50277.27508736838,4.67,85.1,81.6,59,81.19,67.94,85.99,81.93
eci_table_03,My Voice My Choice,Belgium,Health,2024,1124513,True,18313,0.0015946457936678,11484055.0,383,46116.699233676605,5.59,79.7,81.6,61,80.31,64.55,87.7,84.79
eci_table_03,My Voice My Choice,Bulgaria,Health,2024,1124513,True,6552,0.0009392523625737,6975761.0,64,12328.404026456756,4.34,71.0,74.9,31,53.12,54.62,68.31,72.79
eci_table_03,My Voice My Choice,Croatia,Health,2024,1124513,True,65963,0.0162170866625691,4067500.0,73,14853.239837492318,6.93,67.9,78.1,45,56.15,52.19,75.16,73.54
eci_table_03,My Voice My Choice,Cyprus,Health,2024,1124513,True,3228,0.0026931981728302,1198575.0,131,20494.87761299877,7.27,75.9,80.8,39,65.69,56.86,78.31,79.14
eci_table_03,My Voice My Choice,Czech Republic,Health,2024,1124513,True,11569,0.0010842844917326,10669709.0,139,23101.777704996453,1.93,64.1,79.0,58,68.72,61.62,82.53,80.66
eci_table_03,My Voice My Choice,Denmark,Health,2024,1124513,True,19652,0.0033774720278392,5818553.0,137,59822.092960913134,4.91,80.6,81.0,73,89.45,82.56,94.09,87.48
eci_table_03,My Voice My Choice,Estonia,Health,2024,1124513,True,4894,0.0036746597147971,1331824.0,31,23566.890205462583,5.11,69.6,78.2,71,79.03,61.94,87.2,82.19
eci_table_03,My Voice My Choice,Finland,Health,2024,1124513,True,66565,0.0120581908927644,5520314.0,18,48685.853986747854,6.59,88.2,81.7,74,90.41,77.27,91.96,88.38
eci_table_03,My Voice My Choice,France,Health,2024,1124513,True,169759,0.002531453713902,67059887.0,119,40493.9285720389,8.43,65.6,82.5,57,77.24,60.6,79.06,81.27
eci_table_03,My Voice My Choice,Germany,Health,2024,1124513,True,167550,0.0020154500030727,83132799.0,240,46258.8782897109,3.04,70.2,80.9,61,84.39,65.96,87.7,83.45
eci_table_03,My Voice My Choice,Greece,Health,2024,1124513,True,43214,0.0040325402689467,10716322.0,81,19582.53601086268,17.24,136.6,81.3,38,60.81,52.31,73.3,79.34
eci_table_03,My Voice My Choice,Hungary,Health,2024,1124513,True,16765,0.0017159762041746,9769949.0,107,16475.741838979917,3.4,48.5,75.8,41,45.75,59.51,60.36,77.34
eci_table_03,My Voice My Choice,Republic of Ireland,Health,2024,1124513,True,12885,0.0025733617811138,5007069.0,72,77629.9889911643,4.93,77.8,82.3,70,81.72,67.73,88.59,85.0
eci_table_03,My Voice My Choice,Italy,Health,2024,1124513,True,161168,0.0026728849119786,60297396.0,206,33189.56579886136,9.89,61.9,82.9,47,62.33,60.97,78.44,80.0
eci_table_03,My Voice My Choice,Latvia,Health,2024,1124513,True,4779,0.0024984459864626,1912789.0,30,17836.364886560932,6.52,88.1,74.7,55,68.82,55.06,81.39,81.36
eci_table_03,My Voice My Choice,Lithuania,Health,2024,1124513,True,5693,0.0020428125865674,2786844.0,43,19455.45412660343,6.35,72.4,75.7,54,72.57,47.26,79.62,81.8
eci_table_03,My Voice My Choice,Luxembourg,Health,2024,1124513,True,2821,0.004370953072295,645397.0,242,110172.37314087298,5.36,19.2,82.1,53,86.31,66.6,89.2,78.79
eci_table_03,My Voice My Choice,Malta,Health,2024,1124513,True,4278,0.0085108414751329,502653.0,1380,29416.230606402427,3.47,54.3,82.3,45,70.26,68.19,81.05,78.33
eci_table_03,My Voice My Choice,Netherlands,Health,2024,1124513,True,34467,0.0019885362187984,17332850.0,508,52447.83143920359,3.2,85.0,81.8,64,87.34,74.03,90.08,86.43
eci_table_03,My Voice My Choice,Poland,Health,2024,1124513,True,43297,0.001140268722811,37970874.0,124,15595.227033436207,3.47,67.8,77.6,53,58.03,63.27,67.09,78.63
eci_table_03,My Voice My Choice,Portugal,Health,2024,1124513,True,17824,0.0017356389364654,10269417.0,111,23145.04081731222,6.33,63.9,81.3,60,73.19,62.92,85.78,77.64
eci_table_03,My Voice My Choice,Romania,Health,2024,1124513,True,67402,0.0034821298678111,19356544.0,84,12919.529644186485,3.98,49.4,75.4,32,57.11,49.96,73.56,70.47
eci_table_03,My Voice My Choice,Slovakia,Health,2024,1124513,True,7542,0.0013828197752395,5454073.0,114,19329.0968008679,5.56,46.6,77.2,48,61.93,61.15,78.6,72.75
eci_table_03,My Voice My Choice,Slovenia,Health,2024,1124513,True,59508,0.0285007370880281,2087946.0,103,25739.247814359183,4.2,78.6,81.0,55,63.66,62.69,75.8,81.8
eci_table_03,My Voice My Choice,Spain,Health,2024,1124513,True,59642,0.0012669090522565,47076781.0,94,29613.67113798626,13.96,88.9,83.3,58,72.48,69.27,83.65,80.98
eci_table_03,My Voice My Choice,Sweden,Health,2024,1124513,True,23810,0.0023149199165073,10285453.0,25,51610.06605523354,6.48,67.0,82.5,71,86.41,78.29,91.9,85.92
eci_table_04,Air-Quotas,Austria,Environment,2024,7278,False,156,1.757337192565968e-05,8877067.0,109,50277.27508736838,4.67,85.1,81.6,59,81.19,67.94,85.99,81.93
eci_table_04,Air-Quotas,Belgium,Environment,2024,7278,False,257,2.237885485571081e-05,11484055.0,383,46116.699233676605,5.59,79.7,81.6,61,80.31,64.55,87.7,84.79
eci_table_04,Air-Quotas,Bulgaria,Environment,2024,7278,False,17,2.43701009825308e-06,6975761.0,64,12328.404026456756,4.34,71.0,74.9,31,53.12,54.62,68.31,72.79
eci_table_04,Air-Quotas,Croatia,Environment,2024,7278,False,24,5.900430239704978e-06,4067500.0,73,14853.239837492318,6.93,67.9,78.1,45,56.15,52.19,75.16,73.54
eci_table_04,Air-Quotas,Cyprus,Environment,2024,7278,False,8,6.6745927455520095e-06,1198575.0,131,20494.87761299877,7.27,75.9,80.8,39,65.69,56.86,78.31,79.14
eci_table_04,Air-Quotas,Czech Republic,Environment,2024,7278,False,20,1.874465367331012e-06,10669709.0,139,23101.777704996453,1.93,64.1,79.0,58,68.72,61.62,82.53,80.66
eci_table_04,Air-Quotas,Denmark,Environment,2024,7278,False,44,7.562017566910536e-06,5818553.0,137,59822.092960913134,4.91,80.6,81.0,73,89.45,82.56,94.09,87.48
eci_table_04,Air-Quotas,Estonia,Environment,2024,7278,False,11,8.259349583728781e-06,1331824.0,31,23566.890205462583,5.11,69.6,78.2,71,79.03,61.94,87.2,82.19
eci_table_04,Air-Quotas,Finland,Environment,2024,7278,False,76,1.3767332800271869e-05,5520314.0,18,48685.853986747854,6.59,88.2,81.7,74,90.41,77.27,91.96,88.38
eci_table_04,Air-Quotas,France,Environment,2024,7278,False,5116,7.629001820417622e-05,67059887.0,119,40493.9285720389,8.43,65.6,82.5,57,77.24,60.6,79.06,81.27
eci_table_04,Air-Quotas,Germany,Environment,2024,7278,False,478,5.749836475492663e-06,83132799.0,240,46258.8782897109,3.04,70.2,80.9,61,84.39,65.96,87.7,83.45
eci_table_04,Air-Quotas,Greece,Environment,2024,7278,False,26,2.4262055582129765e-06,10716322.0,81,19582.53601086268,17.24,136.6,81.3,38,60.81,52.31,73.3,79.34
eci_table_04,Air-Quotas,Hungary,Environment,2024,7278,False,41,4.196541865264599e-06,9769949.0,107,16475.741838979917,3.4,48.5,75.8,41,45.75,59.51,60.36,77.34
eci_table_04,Air-Quotas,Republic of Ireland,Environment,2024,7278,False,39,7.78898792886617e-06,5007069.0,72,77629.9889911643,4.93,77.8,82.3,70,81.72,67.73,88.59,85.0
eci_table_04,Air-Quotas,Italy,Environment,2024,7278,False,330,5.472873156910457e-06,60297396.0,206,33189.56579886136,9.89,61.9,82.9,47,62.33,60.97,78.44,80.0
eci_table_04,Air-Quotas,Latvia,Environment,2024,7278,False,8,4.182374532684996e-06,1912789.0,30,17836.364886560932,6.52,88.1,74.7,55,68.82,55.06,81.39,81.36
eci_table_04,Air-Quotas,Lithuania,Environment,2024,7278,False,10,3.5882884007859787e-06,2786844.0,43,19455.45412660343,6.35,72.4,75.7,54,72.57,47.26,79.62,81.8
eci_table_04,Air-Quotas,Luxembourg,Environment,2024,7278,False,23,3.563698002934628e-05,645397.0,242,110172.37314087298,5.36,19.2,82.1,53,86.31,66.6,89.2,78.79
eci_table_04,Air-Quotas,Malta,Environment,2024,7278,False,9,1.790499609074252e-05,502653.0,1380,29416.230606402427,3.47,54.3,82.3,45,70.26,68.19,81.05,78.33
eci_table_04,Air-Quotas,Netherlands,Environment,2024,7278,False,135,7.788678722772077e-06,17332850.0,508,52447.83143920359,3.2,85.0,81.8,64,87.34,74.03,90.08,86.43
eci_table_04,Air-Quotas,Poland,Environment,2024,7278,False,78,2.054206073844916e-06,37970874.0,124,15595.227033436207,3.47,67.8,77.6,53,58.03,63.27,67.09,78.63
eci_table_04,Air-Quotas,Portugal,Environment,2024,7278,False,33,3.2134248711489657e-06,10269417.0,111,23145.04081731222,6.33,63.9,81.3,60,73.19,62.92,85.78,77.64
eci_table_04,Air-Quotas,Romania,Environment,2024,7278,False,47,2.428119399826746e-06,19356544.0,84,12919.529644186485,3.98,49.4,75.4,32,57.11,49.96,73.56,70.47
eci_table_04,Air-Quotas,Slovakia,Environment,2024,7278,False,11,2.0168413587423564e-06,5454073.0,114,19329.0968008679,5.56,46.6,77.2,48,61.93,61.15,78.6,72.75
eci_table_04,Air-Quotas,Slovenia,Environment,2024,7278,False,17,8.141973020375048e-06,2087946.0,103,25739.247814359183,4.2,78.6,81.0,55,63.66,62.69,75.8,81.8
eci_table_04,Air-Quotas,Spain,Environment,2024,7278,False,194,4.120927469531105e-06,47076781.0,94,29613.67113798626,13.96,88.9,83.3,58,72.48,69.27,83.65,80.98
eci_table_04,Air-Quotas,Sweden,Environment,2024,7278,False,70,6.805728439962732e-06,10285453.0,25,51610.06605523354,6.48,67.0,82.5,71,86.41,78.29,91.9,85.92
eci_table_05,Stop Destroying Videogames,Austria,Digital Rights,2024,1294188,True,20714,0.0023334283722315,8877067.0,109,50277.27508736838,4.67,85.1,81.6,59,81.19,67.94,85.99,81.93
eci_table_05,Stop Destroying Videogames,Belgium,Digital Rights,2024,1294188,True,31846,0.0027730623024706,11484055.0,383,46116.699233676605,5.59,79.7,81.6,61,80.31,64.55,87.7,84.79
eci_table_05,Stop Destroying Videogames,Bulgaria,Digital Rights,2024,1294188,True,14238,0.0020410676340545,6975761.0,64,12328.404026456756,4.34,71.0,74.9,31,53.12,54.62,68.31,72.79
eci_table_05,Stop Destroying Videogames,Croatia,Digital Rights,2024,1294188,True,14403,0.0035409956976029,4067500.0,73,14853.239837492318,6.93,67.9,78.1,45,56.15,52.19,75.16,73.54
eci_table_05,Stop Destroying Videogames,Cyprus,Digital Rights,2024,1294188,True,1997,0.0016661452141084,1198575.0,131,20494.87761299877,7.27,75.9,80.8,39,65.69,56.86,78.31,79.14
eci_table_05,Stop Destroying Videogames,Czech Republic,Digital Rights,2024,1294188,True,25935,0.0024307129650864,10669709.0,139,23101.777704996453,1.93,64.1,79.0,58,68.72,61.62,82.53,80.66
eci_table_05,Stop Destroying Videogames,Denmark,Digital Rights,2024,1294188,True,36010,0.0061888239223738,5818553.0,137,59822.092960913134,4.91,80.6,81.0,73,89.45,82.56,94.09,87.48
eci_table_05,Stop Destroying Videogames,Estonia,Digital Rights,2024,1294188,True,9296,0.0069799012482129,1331824.0,31,23566.890205462583,5.11,69.6,78.2,71,79.03,61.94,87.2,82.19
eci_table_05,Stop Destroying Videogames,Finland,Digital Rights,2024,1294188,True,54538,0.0098795104771214,5520314.0,18,48685.853986747854,6.59,88.2,81.7,74,90.41,77.27,91.96,88.38
eci_table_05,Stop Destroying Videogames,France,Digital Rights,2024,1294188,True,145289,0.0021665559919598,67059887.0,119,40493.9285720389,8.43,65.6,82.5,57,77.24,60.6,79.06,81.27
eci_table_05,Stop Destroying Videogames,Germany,Digital Rights,2024,1294188,True,233180,0.0028049097685258,83132799.0,240,46258.8782897109,3.04,70.2,80.9,61,84.39,65.96,87.7,83.45
eci_table_05,Stop Destroying Videogames,Greece,Digital Rights,2024,1294188,True,19618,0.00183066540927,10716322.0,81,19582.53601086268,17.24,136.6,81.3,38,60.81,52.31,73.3,79.34
eci_table_05,Stop Destroying Videogames,Hungary,Digital Rights,2024,1294188,True,25595,0.0026197680254011,9769949.0,107,16475.741838979917,3.4,48.5,75.8,41,45.75,59.51,60.36,77.34
eci_table_05,Stop Destroying Videogames,Republic of Ireland,Digital Rights,2024,1294188,True,36073,0.0072044143989228,5007069.0,72,77629.9889911643,4.93,77.8,82.3,70,81.72,67.73,88.59,85.0
eci_table_05,Stop Destroying Videogames,Italy,Digital Rights,2024,1294188,True,77030,0.0012775012705357,60297396.0,206,33189.56579886136,9.89,61.9,82.9,47,62.33,60.97,78.44,80.0
eci_table_05,Stop Destroying Videogames,Latvia,Digital Rights,2024,1294188,True,7526,0.0039345688416234,1912789.0,30,17836.364886560932,6.52,88.1,74.7,55,68.82,55.06,81.39,81.36
eci_table_05,Stop Destroying Videogames,Lithuania,Digital Rights,2024,1294188,True,14461,0.0051890238563766,2786844.0,43,19455.45412660343,6.35,72.4,75.7,54,72.57,47.26,79.62,81.8
eci_table_05,Stop Destroying Videogames,Luxembourg,Digital Rights,2024,1294188,True,2465,0.0038193545987973,645397.0,242,110172.37314087298,5.36,19.2,82.1,53,86.31,66.6,89.2,78.79
eci_table_05,Stop Destroying Videogames,Malta,Digital Rights,2024,1294188,True,2007,0.0039928141282355,502653.0,1380,29416.230606402427,3.47,54.3,82.3,45,70.26,68.19,81.05,78.33
eci_table_05,Stop Destroying Videogames,Netherlands,Digital Rights,2024,1294188,True,90413,0.005216280069348,17332850.0,508,52447.83143920359,3.2,85.0,81.8,64,87.34,74.03,90.08,86.43
eci_table_05,Stop Destroying Videogames,Poland,Digital Rights,2024,1294188,True,143826,0.0037877979843181,37970874.0,124,15595.227033436207,3.47,67.8,77.6,53,58.03,63.27,67.09,78.63
eci_table_05,Stop Destroying Videogames,Portugal,Digital Rights,2024,1294188,True,31585,0.0030756371077345,10269417.0,111,23145.04081731222,6.33,63.9,81.3,60,73.19,62.92,85.78,77.64
eci_table_05,Stop Destroying Videogames,Romania,Digital Rights,2024,1294188,True,38221,0.001974577693208,19356544.0,84,12919.529644186485,3.98,49.4,75.4,32,57.11,49.96,73.56,70.47
eci_table_05,Stop Destroying Videogames,Slovakia,Digital Rights,2024,1294188,True,18628,0.0034154291664229,5454073.0,114,19329.0968008679,5.56,46.6,77.2,48,61.93,61.15,78.6,72.75
eci_table_05,Stop Destroying Videogames,Slovenia,Digital Rights,2024,1294188,True,6520,0.0031226861231085,2087946.0,103,25739.247814359183,4.2,78.6,81.0,55,63.66,62.69,75.8,81.8
eci_table_05,Stop Destroying Videogames,Spain,Digital Rights,2024,1294188,True,121616,0.0025833542017242,47076781.0,94,29613.67113798626,13.96,88.9,83.3,58,72.48,69.27,83.65,80.98
eci_table_05,Stop Destroying Videogames,Sweden,Digital Rights,2024,1294188,True,71158,0.0069183146332981,10285453.0,25,51610.06605523354,6.48,67.0,82.5,71,86.41,78.29,91.9,85.92
eci_table_06,Stop Cruelty Stop Slaughter,Austria,Animal Welfare,2024,590368,False,714,8.043197150590393e-05,8877067.0,109,50277.27508736838,4.67,85.1,81.6,59,81.19,67.94,85.99,81.93
eci_table_06,Stop Cruelty Stop Slaughter,Belgium,Animal Welfare,2024,590368,False,564,4.911157252381672e-05,11484055.0,383,46116.699233676605,5.59,79.7,81.6,61,80.31,64.55,87.7,84.79
eci_table_06,Stop Cruelty Stop Slaughter,Bulgaria,Animal Welfare,2024,590368,False,122,1.748913129334563e-05,6975761.0,64,12328.404026456756,4.34,71.0,74.9,31,53.12,54.62,68.31,72.79
eci_table_06,Stop Cruelty Stop Slaughter,Croatia,Animal Welfare,2024,590368,False,472,0.0001160417947141,4067500.0,73,14853.239837492318,6.93,67.9,78.1,45,56.15,52.19,75.16,73.54
eci_table_06,Stop Cruelty Stop Slaughter,Cyprus,Animal Welfare,2024,590368,False,29,2.4195398702626037e-05,1198575.0,131,20494.87761299877,7.27,75.9,80.8,39,65.69,56.86,78.31,79.14
eci_table_06,Stop Cruelty Stop Slaughter,Czech Republic,Animal Welfare,2024,590368,False,289,2.708602455793312e-05,10669709.0,139,23101.777704996453,1.93,64.1,79.0,58,68.72,61.62,82.53,80.66
eci_table_06,Stop Cruelty Stop Slaughter,Denmark,Animal Welfare,2024,590368,False,56088,0.0096395100293835,5818553.0,137,59822.092960913134,4.91,80.6,81.0,73,89.45,82.56,94.09,87.48
eci_table_06,Stop Cruelty Stop Slaughter,Estonia,Animal Welfare,2024,590368,False,74,5.556289719962998e-05,1331824.0,31,23566.890205462583,5.11,69.6,78.2,71,79.03,61.94,87.2,82.19
eci_table_06,Stop Cruelty Stop Slaughter,Finland,Animal Welfare,2024,590368,False,48444,0.0087755877654785,5520314.0,18,48685.853986747854,6.59,88.2,81.7,74,90.41,77.27,91.96,88.38
